"tconst","titleType","primaryTitle","startYear","runtimeMinutes","genres","averageRating","numVotes"
"tt0110763","movie","The Pagemaster","1994","80","Adventure,Animation,Comedy",6.1,25726
"tt0110770","movie","The Paperboy","1994","94","Horror,Thriller",5.1,1466
"tt0110771","movie","The Paper","1994","112","Comedy,Drama",6.7,15186
"tt0110776","movie","Yvonne's Perfume","1994","89","Drama,Romance",6.4,1187
"tt0110785","movie","Turkish Passion","1994","112","Drama,Romance",5.3,1191
"tt0110796","movie","The Patriots","1994","138","Drama,Thriller",7.3,1578
"tt0110805","movie","Pentathlon","1994","101","Action,Drama,Thriller",4.3,2026
"tt0110808","movie","Perdiamoci di vista","1994","115","Comedy",6.2,1109
"tt0110823","movie","Phantasm III: Lord of the Dead","1994","91","Action,Fantasy,Horror",6,10696
"tt0110832","movie","Take Care of Your Scarf, Tatiana","1994","62","Comedy,Romance",7.1,3752
"tt0110852","movie","Love on Delivery","1994","100","Action,Comedy,Romance",6.8,3758
"tt0110857","movie","Police Academy: Mission to Moscow","1994","83","Comedy,Crime",3.5,36364
"tt0110860","movie","The Police Murderer","1994","89","Crime,Drama,Mystery",5.8,1095
"tt0110877","movie","The Postman","1994","108","Biography,Comedy,Drama",7.8,39235
"tt0110882","movie","Before the Rain","1994","113","Drama,Romance,War",7.9,15925
"tt0110889","movie","Priest","1994","98","Drama,Romance",7.1,11093
"tt0110891","movie","Royal Deceit","1994","107","Adventure,Drama",5.4,2479
"tt0110892","movie","Princess Caraboo","1994","97","Comedy,Drama,History",6,3001
"tt0110907","movie","Ready to Wear","1994","133","Comedy,Drama",5.2,15937
"tt0110908","movie","Psy 2. Ostatnia krew","1994","100","Action,Crime,Drama",6.7,2726
"tt0110912","movie","Pulp Fiction","1994","154","Crime,Drama",8.9,2236052
"tt0110913","movie","Pumpkinhead II: Blood Wings","1993","88","Fantasy,Horror,Thriller",4.6,5290
"tt0110917","movie","A Pure Formality","1994","108","Crime,Drama,Thriller",7.5,12630
"tt0110922","movie","Good Old Daze","1994","101","Comedy,Drama,Romance",7.2,3315
"tt0110932","movie","Quiz Show","1994","133","Biography,Drama,History",7.5,73653
"tt0110939","movie","Radioland Murders","1994","108","Comedy,Crime,Drama",6.1,3931
"tt0110942","movie","Raja Babu","1994","161","Action,Comedy,Drama",6.3,3203
"tt0110944","movie","Rapa Nui","1994","107","Action,Adventure,Drama",6.4,5347
"tt0110948","movie","Raw Justice","1994","92","Action,Thriller",4.1,1463
"tt0110950","movie","Reality Bites","1994","99","Comedy,Drama,Romance",6.6,53935
"tt0110955","movie","The Ref","1994","97","Comedy,Crime,Drama",6.9,26625
"tt0110958","movie","See How They Fall","1994","90","Crime,Drama",6.5,1342
"tt0110963","movie","Queen Margot","1994","161","Biography,Drama,History",7.4,19070
"tt0110971","movie","Renaissance Man","1994","128","Comedy,Drama",6.2,19142
"tt0110978","movie","Texas Chainsaw Massacre: The Next Generation","1994","87","Comedy,Horror,Thriller",3.3,26199
"tt0110989","movie","Richie Rich","1994","95","Comedy,Family",5.4,73889
"tt0110997","movie","The River Wild","1994","111","Adventure,Crime,Thriller",6.5,50442
"tt0110998","movie","River of Grass","1994","76","Drama",6.5,2397
"tt0110999","movie","The Road Killers","1994","89","Action,Crime,Drama",5,1789
"tt0111001","movie","The Road to Wellville","1994","118","Comedy,Drama",5.9,13303
"tt0111003","movie","The Puppet Masters","1994","109","Horror,Sci-Fi,Thriller",5.9,9764
"tt0111019","movie","Wild Reeds","1994","110","Drama",7.3,6676
"tt0111048","movie","S.F.W.","1994","96","Comedy,Drama",5.7,5432
"tt0111049","movie","S.P.Q.R.: 2,000 and a Half Years Ago","1994","95","Comedy,Fantasy",3.6,1705
"tt0111054","movie","Safe Passage","1994","98","Drama",6.3,1360
"tt0111055","movie","The Silences of the Palace","1994","116","Drama",7.4,1113
"tt0111068","movie","Sangharsh","1999","127","Action,Crime,Drama",6.7,5818
"tt0111070","movie","The Santa Clause","1994","97","Comedy,Drama,Family",6.6,133833
"tt0111093","movie","Scorned","1993","100","Drama,Thriller",5.2,2063
"tt0111094","movie","The Scout","1994","101","Comedy,Drama,Sport",5.4,6992
"tt0111102","movie","Second Best","1994","105","Drama",6.8,1935
"tt0111112","movie","The Secret of Roan Inish","1994","103","Drama,Family,Fantasy",7.4,9922
"tt0111125","movie","Separate Lives","1995","102","Drama,Mystery,Romance",5,1040
"tt0111127","movie","Serial Mom","1994","95","Comedy,Crime,Thriller",6.8,33147
"tt0111143","movie","The Shadow","1994","108","Action,Adventure,Crime",6,27274
"tt0111149","movie","Shallow Grave","1994","89","Crime,Drama,Thriller",7.3,66616
"tt0111161","movie","The Shawshank Redemption","1994","142","Drama",9.3,2908911
"tt0111173","movie","Shopping","1994","87","Action,Crime,Drama",5.4,3079
"tt0111174","movie","Showdown","1993","98","Action",5.2,1279
"tt0111175","movie","Shrunken Heads","1994","86","Comedy,Horror,Thriller",5,1609
"tt0111187","movie","Silent Fall","1994","101","Drama,Mystery,Thriller",5.9,4910
"tt0111190","movie","The Silence of the Hams","1994","81","Comedy,Thriller",4.6,6055
"tt0111194","movie","A Simple Twist of Fate","1994","106","Comedy,Drama",6.3,6116
"tt0111201","movie","Sirens","1994","98","Comedy,Drama,Romance",5.9,11557
"tt0111205","movie","Sister My Sister","1994","86","Drama,Thriller",6.5,3691
"tt0111216","movie","Slaughter of the Innocents","1993","104","Crime,Horror,Mystery",5.1,1142
"tt0111218","movie","Sleep with Me","1994","86","Comedy,Drama,Romance",5.7,2825
"tt0111244","movie","Sorceress","1995","93","Fantasy,Horror,Thriller",4.1,1280
"tt0111252","movie","Spanking the Monkey","1994","100","Comedy,Drama",6.3,6777
"tt0111255","movie","The Specialist","1994","110","Action,Drama,Thriller",5.6,70076
